Date,Procedure,n_Procedure,Temperature,EventTarget,Day,2015,Month,Tareeq
12/11/2015,A,1,27,1,Friday,1,1.0,0.3548387096774194
12/11/2015,B,1,27,1,Friday,1,1.0,0.3548387096774194
12/11/2015,C,0,27,1,Friday,1,1.0,0.3548387096774194
12/12/2015,A,3,21,0,Saturday,1,1.0,0.3870967741935484
12/12/2015,B,2,21,0,Saturday,1,1.0,0.3870967741935484
12/12/2015,C,3,21,0,Saturday,1,1.0,0.3870967741935484
12/13/2015,A,5,20,1,Sunday,1,1.0,0.41935483870967744
12/13/2015,B,2,20,1,Sunday,1,1.0,0.41935483870967744
12/13/2015,C,3,20,1,Sunday,1,1.0,0.41935483870967744
12/14/2015,A,8,27,0,Monday,1,1.0,0.45161290322580644
12/14/2015,B,2,27,0,Monday,1,1.0,0.45161290322580644
12/14/2015,C,2,27,0,Monday,1,1.0,0.45161290322580644
12/15/2015,A,10,22,0,Tuesday,1,1.0,0.4838709677419355
12/15/2015,B,3,22,0,Tuesday,1,1.0,0.4838709677419355
12/15/2015,C,4,22,0,Tuesday,1,1.0,0.4838709677419355
12/16/2015,A,5,23,0,Wednesday,1,1.0,0.5161290322580645
12/16/2015,B,1,23,0,Wednesday,1,1.0,0.5161290322580645
12/16/2015,C,3,23,0,Wednesday,1,1.0,0.5161290322580645
12/17/2015,A,5,24,2,Thursday,1,1.0,0.5483870967741935
12/17/2015,B,0,24,2,Thursday,1,1.0,0.5483870967741935
12/17/2015,C,4,24,2,Thursday,1,1.0,0.5483870967741935
12/18/2015,A,9,20,2,Friday,1,1.0,0.5806451612903226
12/18/2015,B,1,20,2,Friday,1,1.0,0.5806451612903226
12/18/2015,C,4,20,2,Friday,1,1.0,0.5806451612903226
12/19/2015,A,4,25,2,Saturday,1,1.0,0.6129032258064516
12/19/2015,B,0,25,2,Saturday,1,1.0,0.6129032258064516
12/19/2015,C,2,25,2,Saturday,1,1.0,0.6129032258064516
12/20/2015,A,8,25,2,Sunday,1,1.0,0.6451612903225806
12/20/2015,B,4,25,2,Sunday,1,1.0,0.6451612903225806
12/20/2015,C,2,25,2,Sunday,1,1.0,0.6451612903225806
12/21/2015,A,0,25,2,Monday,1,1.0,0.6774193548387096
12/21/2015,B,1,25,2,Monday,1,1.0,0.6774193548387096
12/21/2015,C,3,25,2,Monday,1,1.0,0.6774193548387096
12/22/2015,A,10,21,2,Tuesday,1,1.0,0.7096774193548387
12/22/2015,B,4,21,2,Tuesday,1,1.0,0.7096774193548387
12/22/2015,C,4,21,2,Tuesday,1,1.0,0.7096774193548387
12/23/2015,A,5,26,2,Wednesday,1,1.0,0.7419354838709677
12/23/2015,B,4,26,2,Wednesday,1,1.0,0.7419354838709677
12/23/2015,C,4,26,2,Wednesday,1,1.0,0.7419354838709677
12/24/2015,A,6,23,0,Thursday,1,1.0,0.7741935483870968
12/24/2015,B,7,23,0,Thursday,1,1.0,0.7741935483870968
12/24/2015,C,2,23,0,Thursday,1,1.0,0.7741935483870968
12/25/2015,A,5,28,0,Friday,1,1.0,0.8064516129032258
12/25/2015,B,3,28,0,Friday,1,1.0,0.8064516129032258
12/25/2015,C,2,28,0,Friday,1,1.0,0.8064516129032258
12/26/2015,A,3,19,0,Saturday,1,1.0,0.8387096774193549
12/26/2015,B,3,19,0,Saturday,1,1.0,0.8387096774193549
12/26/2015,C,4,19,0,Saturday,1,1.0,0.8387096774193549
12/27/2015,A,5,20,0,Sunday,1,1.0,0.8709677419354839
12/27/2015,B,3,20,0,Sunday,1,1.0,0.8709677419354839
12/27/2015,C,2,20,0,Sunday,1,1.0,0.8709677419354839
12/28/2015,A,6,24,0,Monday,1,1.0,0.9032258064516129
12/28/2015,B,2,24,0,Monday,1,1.0,0.9032258064516129
12/28/2015,C,1,24,0,Monday,1,1.0,0.9032258064516129
12/29/2015,A,11,24,0,Tuesday,1,1.0,0.9354838709677419
12/29/2015,B,5,24,0,Tuesday,1,1.0,0.9354838709677419
12/29/2015,C,3,24,0,Tuesday,1,1.0,0.9354838709677419
12/30/2015,A,8,27,0,Wednesday,1,1.0,0.967741935483871
12/30/2015,B,5,27,0,Wednesday,1,1.0,0.967741935483871
12/30/2015,C,4,27,0,Wednesday,1,1.0,0.967741935483871
12/31/2015,A,10,30,0,Thursday,1,1.0,1.0
12/31/2015,B,4,30,0,Thursday,1,1.0,1.0
12/31/2015,C,4,30,0,Thursday,1,1.0,1.0
1/1/2016,A,5,19,0,Friday,0,0.08333333333333333,0.03225806451612903
1/1/2016,B,2,19,0,Friday,0,0.08333333333333333,0.03225806451612903
1/1/2016,C,4,19,0,Friday,0,0.08333333333333333,0.03225806451612903
1/2/2016,A,3,19,0,Saturday,0,0.08333333333333333,0.06451612903225806
1/2/2016,B,2,19,0,Saturday,0,0.08333333333333333,0.06451612903225806
1/2/2016,C,2,19,0,Saturday,0,0.08333333333333333,0.06451612903225806
1/3/2016,A,4,19,0,Sunday,0,0.08333333333333333,0.0967741935483871
1/3/2016,B,5,19,0,Sunday,0,0.08333333333333333,0.0967741935483871
1/3/2016,C,2,19,0,Sunday,0,0.08333333333333333,0.0967741935483871
1/4/2016,A,7,20,0,Monday,0,0.08333333333333333,0.12903225806451613
1/4/2016,B,4,20,0,Monday,0,0.08333333333333333,0.12903225806451613
1/4/2016,C,5,20,0,Monday,0,0.08333333333333333,0.12903225806451613
1/5/2016,A,3,23,0,Tuesday,0,0.08333333333333333,0.16129032258064516
1/5/2016,B,2,23,0,Tuesday,0,0.08333333333333333,0.16129032258064516
1/5/2016,C,3,23,0,Tuesday,0,0.08333333333333333,0.16129032258064516
1/6/2016,A,3,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/6/2016,B,5,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/6/2016,C,6,23,0,Wednesday,0,0.08333333333333333,0.1935483870967742
1/7/2016,A,6,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/7/2016,B,2,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/7/2016,C,5,24,0,Thursday,0,0.08333333333333333,0.22580645161290322
1/8/2016,A,7,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/8/2016,B,2,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/8/2016,C,1,25,0,Friday,0,0.08333333333333333,0.25806451612903225
1/9/2016,A,8,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/9/2016,B,3,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/9/2016,C,2,28,0,Saturday,0,0.08333333333333333,0.2903225806451613
1/10/2016,A,6,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/10/2016,B,4,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/10/2016,C,4,21,0,Sunday,0,0.08333333333333333,0.3225806451612903
1/11/2016,A,5,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/11/2016,B,2,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/11/2016,C,1,23,0,Monday,0,0.08333333333333333,0.3548387096774194
1/12/2016,A,9,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/12/2016,B,1,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/12/2016,C,4,19,1,Tuesday,0,0.08333333333333333,0.3870967741935484
1/13/2016,A,5,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/13/2016,B,2,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/13/2016,C,5,22,2,Wednesday,0,0.08333333333333333,0.41935483870967744
1/14/2016,A,7,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/14/2016,B,3,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/14/2016,C,1,21,2,Thursday,0,0.08333333333333333,0.45161290322580644
1/15/2016,A,4,19,0,Friday,0,0.08333333333333333,0.4838709677419355
1/15/2016,B,1,19,0,Friday,0,0.08333333333333333,0.4838709677419355
1/15/2016,C,1,19,0,Friday,0,0.08333333333333333,0.4838709677419355
1/16/2016,A,4,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/16/2016,B,4,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/16/2016,C,10,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/17/2016,A,2,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/17/2016,B,3,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/17/2016,C,3,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/18/2016,A,6,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/18/2016,B,1,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/18/2016,C,4,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/19/2016,A,4,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/19/2016,B,2,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/19/2016,C,2,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/20/2016,A,5,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/20/2016,B,2,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/20/2016,C,3,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/21/2016,A,3,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/21/2016,B,2,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/21/2016,C,3,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/22/2016,A,7,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/22/2016,B,5,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/22/2016,C,3,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/23/2016,A,5,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/23/2016,B,0,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/23/2016,C,2,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/24/2016,A,10,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/24/2016,B,2,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/24/2016,C,3,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/25/2016,A,7,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/25/2016,B,1,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/25/2016,C,4,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/26/2016,A,8,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/26/2016,B,2,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/26/2016,C,4,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/27/2016,A,2,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/27/2016,B,2,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/27/2016,C,3,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/28/2016,A,7,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/28/2016,B,3,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/28/2016,C,1,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/29/2016,A,4,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/29/2016,B,4,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/29/2016,C,1,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/30/2016,A,10,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/30/2016,B,3,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/30/2016,C,4,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/31/2016,A,6,18,0,Sunday,0,0.08333333333333333,1.0
1/31/2016,B,0,18,0,Sunday,0,0.08333333333333333,1.0
1/31/2016,C,2,18,0,Sunday,0,0.08333333333333333,1.0
2/1/2016,A,5,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/1/2016,B,3,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/1/2016,C,3,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/2/2016,A,10,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/2/2016,B,0,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/2/2016,C,2,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/3/2016,A,7,21,2,Wednesday,0,0.16666666666666666,0.0967741935483871
2/3/2016,B,3,21,2,Wednesday,0,0.16666666666666666,0.0967741935483871
2/3/2016,C,1,21,2,Wednesday,0,0.16666666666666666,0.0967741935483871
2/4/2016,A,4,19,2,Thursday,0,0.16666666666666666,0.12903225806451613
2/4/2016,B,2,19,2,Thursday,0,0.16666666666666666,0.12903225806451613
2/4/2016,C,4,19,2,Thursday,0,0.16666666666666666,0.12903225806451613
2/5/2016,A,3,27,2,Friday,0,0.16666666666666666,0.16129032258064516
2/5/2016,B,2,27,2,Friday,0,0.16666666666666666,0.16129032258064516
2/5/2016,C,3,27,2,Friday,0,0.16666666666666666,0.16129032258064516
2/6/2016,A,5,26,2,Saturday,0,0.16666666666666666,0.1935483870967742
2/6/2016,B,1,26,2,Saturday,0,0.16666666666666666,0.1935483870967742
2/6/2016,C,3,26,2,Saturday,0,0.16666666666666666,0.1935483870967742
2/7/2016,A,6,26,1,Sunday,0,0.16666666666666666,0.22580645161290322
2/7/2016,B,1,26,1,Sunday,0,0.16666666666666666,0.22580645161290322
2/7/2016,C,3,26,1,Sunday,0,0.16666666666666666,0.22580645161290322
2/8/2016,A,6,28,1,Monday,0,0.16666666666666666,0.25806451612903225
2/8/2016,B,4,28,1,Monday,0,0.16666666666666666,0.25806451612903225
2/8/2016,C,5,28,1,Monday,0,0.16666666666666666,0.25806451612903225
2/9/2016,A,2,23,2,Tuesday,0,0.16666666666666666,0.2903225806451613
2/9/2016,B,1,23,2,Tuesday,0,0.16666666666666666,0.2903225806451613
2/9/2016,C,2,23,2,Tuesday,0,0.16666666666666666,0.2903225806451613
2/10/2016,A,3,22,2,Wednesday,0,0.16666666666666666,0.3225806451612903
2/10/2016,B,2,22,2,Wednesday,0,0.16666666666666666,0.3225806451612903
2/10/2016,C,3,22,2,Wednesday,0,0.16666666666666666,0.3225806451612903
2/11/2016,A,11,23,2,Thursday,0,0.16666666666666666,0.3548387096774194
2/11/2016,B,4,23,2,Thursday,0,0.16666666666666666,0.3548387096774194
2/11/2016,C,3,23,2,Thursday,0,0.16666666666666666,0.3548387096774194
2/12/2016,A,6,21,0,Friday,0,0.16666666666666666,0.3870967741935484
2/12/2016,B,3,21,0,Friday,0,0.16666666666666666,0.3870967741935484
2/12/2016,C,3,21,0,Friday,0,0.16666666666666666,0.3870967741935484
2/13/2016,A,6,19,0,Saturday,0,0.16666666666666666,0.41935483870967744
2/13/2016,B,3,19,0,Saturday,0,0.16666666666666666,0.41935483870967744
2/13/2016,C,3,19,0,Saturday,0,0.16666666666666666,0.41935483870967744
2/14/2016,A,5,24,0,Sunday,0,0.16666666666666666,0.45161290322580644
2/14/2016,B,4,24,0,Sunday,0,0.16666666666666666,0.45161290322580644
2/14/2016,C,4,24,0,Sunday,0,0.16666666666666666,0.45161290322580644
2/15/2016,A,6,24,0,Monday,0,0.16666666666666666,0.4838709677419355
2/15/2016,B,3,24,0,Monday,0,0.16666666666666666,0.4838709677419355
2/15/2016,C,6,24,0,Monday,0,0.16666666666666666,0.4838709677419355
2/16/2016,A,5,23,2,Tuesday,0,0.16666666666666666,0.5161290322580645
2/16/2016,B,6,23,2,Tuesday,0,0.16666666666666666,0.5161290322580645
2/16/2016,C,2,23,2,Tuesday,0,0.16666666666666666,0.5161290322580645
2/17/2016,A,5,24,2,Wednesday,0,0.16666666666666666,0.5483870967741935
2/17/2016,B,1,24,2,Wednesday,0,0.16666666666666666,0.5483870967741935
2/17/2016,C,5,24,2,Wednesday,0,0.16666666666666666,0.5483870967741935
2/18/2016,A,2,25,2,Thursday,0,0.16666666666666666,0.5806451612903226
2/18/2016,B,5,25,2,Thursday,0,0.16666666666666666,0.5806451612903226
2/18/2016,C,2,25,2,Thursday,0,0.16666666666666666,0.5806451612903226
2/19/2016,A,8,25,2,Friday,0,0.16666666666666666,0.6129032258064516
2/19/2016,B,7,25,2,Friday,0,0.16666666666666666,0.6129032258064516
2/19/2016,C,3,25,2,Friday,0,0.16666666666666666,0.6129032258064516
2/20/2016,A,8,20,2,Saturday,0,0.16666666666666666,0.6451612903225806
2/20/2016,B,3,20,2,Saturday,0,0.16666666666666666,0.6451612903225806
2/20/2016,C,1,20,2,Saturday,0,0.16666666666666666,0.6451612903225806
2/21/2016,A,9,29,0,Sunday,0,0.16666666666666666,0.6774193548387096
2/21/2016,B,4,29,0,Sunday,0,0.16666666666666666,0.6774193548387096
2/21/2016,C,3,29,0,Sunday,0,0.16666666666666666,0.6774193548387096
2/22/2016,A,5,33,0,Monday,0,0.16666666666666666,0.7096774193548387
2/22/2016,B,2,33,0,Monday,0,0.16666666666666666,0.7096774193548387
2/22/2016,C,0,33,0,Monday,0,0.16666666666666666,0.7096774193548387
2/23/2016,A,7,33,0,Tuesday,0,0.16666666666666666,0.7419354838709677
2/23/2016,B,1,33,0,Tuesday,0,0.16666666666666666,0.7419354838709677
2/23/2016,C,6,33,0,Tuesday,0,0.16666666666666666,0.7419354838709677
2/24/2016,A,9,33,2,Wednesday,0,0.16666666666666666,0.7741935483870968
2/24/2016,B,1,33,2,Wednesday,0,0.16666666666666666,0.7741935483870968
2/24/2016,C,3,33,2,Wednesday,0,0.16666666666666666,0.7741935483870968
2/25/2016,A,5,22,2,Thursday,0,0.16666666666666666,0.8064516129032258
2/25/2016,B,2,22,2,Thursday,0,0.16666666666666666,0.8064516129032258
2/25/2016,C,1,22,2,Thursday,0,0.16666666666666666,0.8064516129032258
2/26/2016,A,8,26,2,Friday,0,0.16666666666666666,0.8387096774193549
2/26/2016,B,2,26,2,Friday,0,0.16666666666666666,0.8387096774193549
2/26/2016,C,3,26,2,Friday,0,0.16666666666666666,0.8387096774193549
2/27/2016,A,7,24,2,Saturday,0,0.16666666666666666,0.8709677419354839
2/27/2016,B,4,24,2,Saturday,0,0.16666666666666666,0.8709677419354839
2/27/2016,C,6,24,2,Saturday,0,0.16666666666666666,0.8709677419354839
2/28/2016,A,6,33,0,Sunday,0,0.16666666666666666,0.9032258064516129
2/28/2016,B,0,33,0,Sunday,0,0.16666666666666666,0.9032258064516129
2/28/2016,C,2,33,0,Sunday,0,0.16666666666666666,0.9032258064516129
2/29/2016,A,5,23,0,Monday,0,0.16666666666666666,0.9354838709677419
2/29/2016,B,0,23,0,Monday,0,0.16666666666666666,0.9354838709677419
2/29/2016,C,7,23,0,Monday,0,0.16666666666666666,0.9354838709677419
3/1/2016,A,4,26,0,Tuesday,0,0.25,0.03225806451612903
3/1/2016,B,5,26,0,Tuesday,0,0.25,0.03225806451612903
3/1/2016,C,4,26,0,Tuesday,0,0.25,0.03225806451612903
3/2/2016,A,7,27,0,Wednesday,0,0.25,0.06451612903225806
3/2/2016,B,2,27,0,Wednesday,0,0.25,0.06451612903225806
3/2/2016,C,4,27,0,Wednesday,0,0.25,0.06451612903225806
3/3/2016,A,8,28,0,Thursday,0,0.25,0.0967741935483871
3/3/2016,B,0,28,0,Thursday,0,0.25,0.0967741935483871
3/3/2016,C,6,28,0,Thursday,0,0.25,0.0967741935483871
3/4/2016,A,6,23,0,Friday,0,0.25,0.12903225806451613
3/4/2016,B,3,23,0,Friday,0,0.25,0.12903225806451613
3/4/2016,C,5,23,0,Friday,0,0.25,0.12903225806451613
3/5/2016,A,3,25,2,Saturday,0,0.25,0.16129032258064516
3/5/2016,B,3,25,2,Saturday,0,0.25,0.16129032258064516
3/5/2016,C,3,25,2,Saturday,0,0.25,0.16129032258064516
3/6/2016,A,7,32,2,Sunday,0,0.25,0.1935483870967742
3/6/2016,B,5,32,2,Sunday,0,0.25,0.1935483870967742
3/6/2016,C,1,32,2,Sunday,0,0.25,0.1935483870967742
3/7/2016,A,5,26,2,Monday,0,0.25,0.22580645161290322
3/7/2016,B,2,26,2,Monday,0,0.25,0.22580645161290322
3/7/2016,C,6,26,2,Monday,0,0.25,0.22580645161290322
3/8/2016,A,12,27,0,Tuesday,0,0.25,0.25806451612903225
3/8/2016,B,4,27,0,Tuesday,0,0.25,0.25806451612903225
3/8/2016,C,1,27,0,Tuesday,0,0.25,0.25806451612903225
3/9/2016,A,7,24,2,Wednesday,0,0.25,0.2903225806451613
3/9/2016,B,2,24,2,Wednesday,0,0.25,0.2903225806451613
3/9/2016,C,4,24,2,Wednesday,0,0.25,0.2903225806451613
3/10/2016,A,4,27,2,Thursday,0,0.25,0.3225806451612903
3/10/2016,B,0,27,2,Thursday,0,0.25,0.3225806451612903
3/10/2016,C,1,27,2,Thursday,0,0.25,0.3225806451612903
3/11/2016,A,4,23,2,Friday,0,0.25,0.3548387096774194
3/11/2016,B,4,23,2,Friday,0,0.25,0.3548387096774194
3/11/2016,C,0,23,2,Friday,0,0.25,0.3548387096774194
3/12/2016,A,7,33,2,Saturday,0,0.25,0.3870967741935484
3/12/2016,B,5,33,2,Saturday,0,0.25,0.3870967741935484
3/12/2016,C,3,33,2,Saturday,0,0.25,0.3870967741935484
3/13/2016,A,7,34,2,Sunday,0,0.25,0.41935483870967744
3/13/2016,B,1,34,2,Sunday,0,0.25,0.41935483870967744
3/13/2016,C,2,34,2,Sunday,0,0.25,0.41935483870967744
3/14/2016,A,4,31,1,Monday,0,0.25,0.45161290322580644
3/14/2016,B,7,31,1,Monday,0,0.25,0.45161290322580644
3/14/2016,C,1,31,1,Monday,0,0.25,0.45161290322580644
3/15/2016,A,11,26,0,Tuesday,0,0.25,0.4838709677419355
3/15/2016,B,3,26,0,Tuesday,0,0.25,0.4838709677419355
3/15/2016,C,4,26,0,Tuesday,0,0.25,0.4838709677419355
3/16/2016,A,4,31,2,Wednesday,0,0.25,0.5161290322580645
3/16/2016,B,4,31,2,Wednesday,0,0.25,0.5161290322580645
3/16/2016,C,2,31,2,Wednesday,0,0.25,0.5161290322580645
3/17/2016,A,2,29,2,Thursday,0,0.25,0.5483870967741935
3/17/2016,B,1,29,2,Thursday,0,0.25,0.5483870967741935
3/17/2016,C,5,29,2,Thursday,0,0.25,0.5483870967741935
3/18/2016,A,3,24,2,Friday,0,0.25,0.5806451612903226
3/18/2016,B,7,24,2,Friday,0,0.25,0.5806451612903226
3/18/2016,C,3,24,2,Friday,0,0.25,0.5806451612903226
3/19/2016,A,2,26,0,Saturday,0,0.25,0.6129032258064516
3/19/2016,B,3,26,0,Saturday,0,0.25,0.6129032258064516
3/19/2016,C,1,26,0,Saturday,0,0.25,0.6129032258064516
3/20/2016,A,4,23,0,Sunday,0,0.25,0.6451612903225806
3/20/2016,B,0,23,0,Sunday,0,0.25,0.6451612903225806
3/20/2016,C,4,23,0,Sunday,0,0.25,0.6451612903225806
3/21/2016,A,2,30,0,Monday,0,0.25,0.6774193548387096
3/21/2016,B,3,30,0,Monday,0,0.25,0.6774193548387096
3/21/2016,C,1,30,0,Monday,0,0.25,0.6774193548387096
3/22/2016,A,5,29,0,Tuesday,0,0.25,0.7096774193548387
3/22/2016,B,0,29,0,Tuesday,0,0.25,0.7096774193548387
3/22/2016,C,3,29,0,Tuesday,0,0.25,0.7096774193548387
3/23/2016,A,9,27,0,Wednesday,0,0.25,0.7419354838709677
3/23/2016,B,4,27,0,Wednesday,0,0.25,0.7419354838709677
3/23/2016,C,4,27,0,Wednesday,0,0.25,0.7419354838709677
3/24/2016,A,5,22,2,Thursday,0,0.25,0.7741935483870968
3/24/2016,B,3,22,2,Thursday,0,0.25,0.7741935483870968
3/24/2016,C,3,22,2,Thursday,0,0.25,0.7741935483870968
3/25/2016,A,7,27,2,Friday,0,0.25,0.8064516129032258
3/25/2016,B,4,27,2,Friday,0,0.25,0.8064516129032258
3/25/2016,C,3,27,2,Friday,0,0.25,0.8064516129032258
3/26/2016,A,6,32,2,Saturday,0,0.25,0.8387096774193549
3/26/2016,B,1,32,2,Saturday,0,0.25,0.8387096774193549
3/26/2016,C,3,32,2,Saturday,0,0.25,0.8387096774193549
3/27/2016,A,5,34,0,Sunday,0,0.25,0.8709677419354839
3/27/2016,B,6,34,0,Sunday,0,0.25,0.8709677419354839
3/27/2016,C,3,34,0,Sunday,0,0.25,0.8709677419354839
3/28/2016,A,5,36,0,Monday,0,0.25,0.9032258064516129
3/28/2016,B,3,36,0,Monday,0,0.25,0.9032258064516129
3/28/2016,C,1,36,0,Monday,0,0.25,0.9032258064516129
3/29/2016,A,7,38,0,Tuesday,0,0.25,0.9354838709677419
3/29/2016,B,1,38,0,Tuesday,0,0.25,0.9354838709677419
3/29/2016,C,3,38,0,Tuesday,0,0.25,0.9354838709677419
3/30/2016,A,5,36,0,Wednesday,0,0.25,0.967741935483871
